Location,Year,Month,count,UpWind
32.1806,1996,1,744,1470.7113941899004
32.1806,1996,2,696,-970.8576105691317
32.1806,1996,3,744,1248.3616668457905
32.1806,1996,4,720,-1970.8126651840857
32.1806,1996,5,744,-953.5334944300594
32.1806,1996,6,720,-5035.837718915297
32.1806,1996,7,744,-5599.118980808497
32.1806,1996,8,744,-3798.648339212253
32.1806,1996,9,720,-1960.7717488912376
32.1806,1996,10,744,2374.85347995408
32.1806,1996,11,720,229.35008447785532
32.1806,1996,12,744,3965.3134075379207
32.1806,1997,1,744,3970.793485092115
32.1806,1997,2,672,1273.1457595263776
32.1806,1997,3,744,1123.840162678839
32.1806,1997,4,720,67.63476362049444
32.1806,1997,5,744,-5658.162397037577
32.1806,1997,6,720,-7440.920013765101
32.1806,1997,7,744,-7057.562072344812
32.1806,1997,8,744,-2684.3187627403713
32.1806,1997,9,720,-3862.323304858104
32.1806,1997,10,744,1634.3005480174077
32.1806,1997,11,720,3647.7871074461013
32.1806,1997,12,744,5478.875472667726
32.1806,1998,1,744,7057.668138361989
32.1806,1998,2,672,3888.6276771182384
32.1806,1998,3,744,435.22422382031885
32.1806,1998,4,720,3.4648232278128153
32.1806,1998,5,744,-7361.158368847257
32.1806,1998,6,720,-8549.94628937808
32.1806,1998,7,744,-5336.605588292991
32.1806,1998,8,744,-2429.512834139799
32.1806,1998,9,720,2226.57318793926
32.1806,1998,10,744,-568.195654022449
32.1806,1998,11,720,-366.1398912983956
32.1806,1998,12,744,4159.166731600213
32.1806,1999,1,744,4760.101429591599
32.1806,1999,2,672,1534.7045578872808
32.1806,1999,3,744,1604.495997190393
32.1806,1999,4,720,-7028.464628298988
32.1806,1999,5,744,-1341.028010520287
32.1806,1999,6,720,-5203.740224108041
32.1806,1999,7,744,-7018.565133362376
32.1806,1999,8,744,-1217.8146538985304
32.1806,1999,9,720,2517.017298311635
32.1806,1999,10,744,2460.55482183389
32.1806,1999,11,720,-410.5815524959684
32.1806,1999,12,744,3926.52860058984
32.1806,2000,1,744,-176.8827613138158
32.1806,2000,2,696,9513.626766118166
32.1806,2000,3,744,3868.5458445325444
32.1806,2000,4,720,-902.9400042361626
32.1806,2000,5,744,-4046.1357126275434
32.1806,2000,6,720,-7400.47350588123
32.1806,2000,7,744,-7234.692321032044
32.1806,2000,8,744,-4533.226218847896
32.1806,2000,9,720,-629.2543245779136
32.1806,2000,10,744,3200.718845040909
32.1806,2000,11,720,6665.259230142518
32.1806,2000,12,744,3689.152854145517
32.1806,2001,1,744,7213.30234090115
32.1806,2001,2,672,4769.364528425144
32.1806,2001,3,744,1020.7793493208985
32.1806,2001,4,720,-666.8724053370325
32.1806,2001,5,744,-9404.555545120142
32.1806,2001,6,720,-3980.0919392647193
32.1806,2001,7,744,-6984.694718543539
32.1806,2001,8,744,-5703.1697436601
32.1806,2001,9,720,1847.3518211889173
32.1806,2001,10,744,261.2052449703106
32.1806,2001,11,720,275.66557864557444
32.1806,2001,12,744,2111.456203962089
32.1806,2002,1,744,3054.8073607430647
32.1806,2002,2,672,3178.9046008413015
32.1806,2002,3,744,709.4048782254025
32.1806,2002,4,720,261.73557505620033
32.1806,2002,5,744,-6396.205099901037
32.1806,2002,6,720,-6294.55850010547
32.1806,2002,7,744,-6636.8688928778765
32.1806,2002,8,744,-2753.120252549824
32.1806,2002,9,720,-63.60425496773095
32.1806,2002,10,744,4678.147753652081
32.1806,2002,11,720,5272.082094509721
32.1806,2002,12,744,3307.5626796781944
32.1806,2003,1,744,2972.712263447302
32.1806,2003,2,672,7405.387898010476
32.1806,2003,3,744,636.2900370507123
32.1806,2003,4,720,-4200.072858891856
32.1806,2003,5,744,-4118.119182952336
32.1806,2003,6,720,-4085.0619409318624
32.1806,2003,7,744,-4201.062808385519
32.1806,2003,8,744,-2345.3317718395415
32.1806,2003,9,720,-3395.2439205453265
32.1806,2003,10,744,-1170.7213422715088
32.1806,2003,11,720,470.8977609311826
32.1806,2003,12,744,4550.797822360381
32.1806,2004,1,744,5349.121378319995
32.1806,2004,2,696,1577.0602540803561
32.1806,2004,3,744,2450.2664181676223
32.1806,2004,4,720,271.31687194127767
32.1806,2004,5,744,-6193.9372051426235
32.1806,2004,6,720,-3666.666858503784
32.1806,2004,7,744,-6088.330807372414
32.1806,2004,8,744,-3755.5855362379916
32.1806,2004,9,720,-387.8480694808238
32.1806,2004,10,744,515.551554163112
32.1806,2004,11,720,1727.9568411855657
32.1806,2004,12,744,3080.8288902907298
32.1806,2005,1,744,3819.7201212916125
32.1806,2005,2,672,4050.6965513661985
