Event date Year,Event date Month,Species Common Name,Total_Catch,Total_Effort,CPUE,Date
2009,07,Female Blue Swimmer Crab,1151.6,1984,0.5804435483870968,2009-07-01
2009,07,Male Blue Swimmer Crab,437.5,1834,0.2385496183206107,2009-07-01
2009,08,Female Blue Swimmer Crab,394.3,993,0.39707955689828806,2009-08-01
2009,08,Male Blue Swimmer Crab,287.9,1053,0.2734093067426401,2009-08-01
2009,09,Female Blue Swimmer Crab,119,620,0.19193548387096773,2009-09-01
2009,09,Male Blue Swimmer Crab,106.4,706,0.15070821529745043,2009-09-01
2009,10,Female Blue Swimmer Crab,314.3,1319,0.23828658074298711,2009-10-01
2009,10,Male Blue Swimmer Crab,623.5,1284,0.4855919003115265,2009-10-01
2009,11,Female Blue Swimmer Crab,895.4,2490,0.3595983935742972,2009-11-01
2009,11,Male Blue Swimmer Crab,1929.6,2637,0.7317406143344709,2009-11-01
2009,12,Female Blue Swimmer Crab,2041.2,4805,0.4248074921956296,2009-12-01
2009,12,Male Blue Swimmer Crab,3090.6,5210,0.5932053742802303,2009-12-01
2010,01,Female Blue Swimmer Crab,3060.8,5920,0.5170270270270271,2010-01-01
2010,01,Male Blue Swimmer Crab,4738.1,6635,0.7141070082893746,2010-01-01
2010,02,Female Blue Swimmer Crab,4961.9,6586,0.7534011539629517,2010-02-01
2010,02,Male Blue Swimmer Crab,5907.2,7042,0.8388525986935529,2010-02-01
2010,03,Female Blue Swimmer Crab,3802,5695,0.667603160667252,2010-03-01
2010,03,Male Blue Swimmer Crab,6374.4,6134,1.0391913922399738,2010-03-01
2010,04,Female Blue Swimmer Crab,1674.9,4305,0.38905923344947735,2010-04-01
2010,04,Male Blue Swimmer Crab,3746.6,4685,0.7997011739594451,2010-04-01
2010,05,Female Blue Swimmer Crab,1838.5,3410,0.5391495601173021,2010-05-01
2010,05,Male Blue Swimmer Crab,1830,3610,0.5069252077562327,2010-05-01
2010,06,Female Blue Swimmer Crab,2620.4,3802,0.689216201998948,2010-06-01
2010,06,Male Blue Swimmer Crab,1676.8,3842,0.4364393545028631,2010-06-01
2010,07,Female Blue Swimmer Crab,728.3,1970,0.3696954314720812,2010-07-01
2010,07,Male Blue Swimmer Crab,391.6,1812,0.21611479028697572,2010-07-01
2010,08,Female Blue Swimmer Crab,235,1037,0.2266152362584378,2010-08-01
2010,08,Male Blue Swimmer Crab,227,932,0.24356223175965663,2010-08-01
2010,09,Female Blue Swimmer Crab,153.20000000000002,898,0.17060133630289534,2010-09-01
2010,09,Male Blue Swimmer Crab,169.1,914,0.1850109409190372,2010-09-01
2010,10,Female Blue Swimmer Crab,273.6,1381,0.19811730629978275,2010-10-01
2010,10,Male Blue Swimmer Crab,639.7,1346,0.47526002971768205,2010-10-01
2010,11,Female Blue Swimmer Crab,588,2350,0.2502127659574468,2010-11-01
2010,11,Male Blue Swimmer Crab,1747.7,2280,0.7665350877192982,2010-11-01
2010,12,Female Blue Swimmer Crab,1129.6,3188,0.35432873274780424,2010-12-01
2010,12,Male Blue Swimmer Crab,2321.7,3222,0.7205772811918063,2010-12-01
2011,01,Female Blue Swimmer Crab,2335.9,5546,0.4211864406779661,2011-01-01
2011,01,Male Blue Swimmer Crab,3726.4,6596,0.5649484536082474,2011-01-01
2011,02,Female Blue Swimmer Crab,2939.7,5357,0.5487586335635617,2011-02-01
2011,02,Male Blue Swimmer Crab,4171.7,6207,0.6720960206218785,2011-02-01
2011,03,Female Blue Swimmer Crab,4058,6710,0.604769001490313,2011-03-01
2011,03,Male Blue Swimmer Crab,5743,7177.2,0.800172769325085,2011-03-01
2011,04,Female Blue Swimmer Crab,1881.8,4706,0.3998725031874203,2011-04-01
2011,04,Male Blue Swimmer Crab,4525.9,4996,0.9059047237790232,2011-04-01
2011,05,Female Blue Swimmer Crab,2582.2,3912,0.6600715746421267,2011-05-01
2011,05,Male Blue Swimmer Crab,2626.9,3849,0.6824889581709536,2011-05-01
2011,06,Female Blue Swimmer Crab,2332.4,3493,0.6677354709418838,2011-06-01
2011,06,Male Blue Swimmer Crab,1882.1,3353,0.5613182224873248,2011-06-01
2011,07,Female Blue Swimmer Crab,876,1650,0.5309090909090909,2011-07-01
2011,07,Male Blue Swimmer Crab,450,1600,0.28125,2011-07-01
2011,08,Female Blue Swimmer Crab,148.7,721,0.2062413314840499,2011-08-01
2011,08,Male Blue Swimmer Crab,83.8,591,0.14179357021996616,2011-08-01
2011,09,Female Blue Swimmer Crab,47.4,510,0.09294117647058824,2011-09-01
2011,09,Male Blue Swimmer Crab,90.3,620,0.14564516129032257,2011-09-01
2011,10,Female Blue Swimmer Crab,27.9,301,0.09269102990033222,2011-10-01
2011,10,Male Blue Swimmer Crab,107.3,342,0.31374269005847955,2011-10-01
2011,11,Female Blue Swimmer Crab,668.5,1928,0.3467323651452282,2011-11-01
2011,11,Male Blue Swimmer Crab,1124.4,1966,0.5719226856561547,2011-11-01
2011,12,Female Blue Swimmer Crab,813.5,3058,0.2660235448005232,2011-12-01
2011,12,Male Blue Swimmer Crab,1291.7,3448,0.374622969837587,2011-12-01
2012,01,Female Blue Swimmer Crab,1471.5,3522.33,0.41776324194496256,2012-01-01
2012,01,Male Blue Swimmer Crab,1639.3,3862.33,0.424432920024959,2012-01-01
2012,02,Female Blue Swimmer Crab,1701.3,3570,0.4765546218487395,2012-02-01
2012,02,Male Blue Swimmer Crab,2423.3,4038,0.6001238236750868,2012-02-01
2012,03,Female Blue Swimmer Crab,1116.5,3970,0.28123425692695214,2012-03-01
2012,03,Male Blue Swimmer Crab,2023.9,4060,0.4984975369458128,2012-03-01
2012,04,Female Blue Swimmer Crab,715,3050,0.23442622950819672,2012-04-01
2012,04,Male Blue Swimmer Crab,2101,3160,0.664873417721519,2012-04-01
2012,05,Female Blue Swimmer Crab,1171.2,3373,0.34722798695523277,2012-05-01
2012,05,Male Blue Swimmer Crab,1695.9,3443,0.492564623874528,2012-05-01
2012,06,Female Blue Swimmer Crab,996.2,2490,0.4000803212851406,2012-06-01
2012,06,Male Blue Swimmer Crab,556,2520,0.22063492063492063,2012-06-01
2012,07,Female Blue Swimmer Crab,299.1,1245,0.2402409638554217,2012-07-01
2012,07,Male Blue Swimmer Crab,125.6,1195,0.10510460251046023,2012-07-01
2012,08,Female Blue Swimmer Crab,105.6,710,0.14873239436619717,2012-08-01
2012,08,Male Blue Swimmer Crab,37.2,550,0.06763636363636365,2012-08-01
2012,09,Female Blue Swimmer Crab,65.8,760,0.08657894736842105,2012-09-01
2012,09,Male Blue Swimmer Crab,82.1,770,0.10662337662337662,2012-09-01
2012,10,Female Blue Swimmer Crab,31.8,480,0.06625,2012-10-01
2012,10,Male Blue Swimmer Crab,51.3,470,0.10914893617021276,2012-10-01
2012,11,Female Blue Swimmer Crab,426,1860,0.22903225806451613,2012-11-01
2012,11,Male Blue Swimmer Crab,1092.8,1850,0.5907027027027026,2012-11-01
2012,12,Female Blue Swimmer Crab,2063.5,4660,0.44281115879828326,2012-12-01
2012,12,Male Blue Swimmer Crab,2931.2,4800,0.6106666666666666,2012-12-01
2013,01,Female Blue Swimmer Crab,6533.3,7423.5,0.8800835185559372,2013-01-01
2013,01,Male Blue Swimmer Crab,7059.2,7803.5,0.9046197219196516,2013-01-01
