Date,Est_code,Zone,Site,Rep,Sample_code,Period_code,Sp_code,CL_mm,Sex,Gonad_stage,Gear,Author,Moult_stage,Egg_Stage,Notes/ Label Names,,
181031,PST,,1,4,181031.PST.1.4,201810,PORARM,38,F,IMMATURE,BEAM TRAWL,HANAMSETH,HARD,,,,
181031,PST,,1,4,181031.PST.1.4,201810,PORARM,72,M,MATURE,BEAM TRAWL,HANAMSETH,HARD,,,,
181031,PST,,1,1,181031.PST.1.1,201810,PORARM,67,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181031,PST,,1,10,181031.PST.1.10,201810,PORARM,65,F,MATURE,LARGE,HANAMSETH,HARD,,,,
181031,PST,,1,10,181031.PST.1.10,201810,PORARM,66,M,MATURE,LARGE,HANAMSETH,HARD,,,,
181031,PST,,1,5,181031.PST.1.5,201810,PORARM,75,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181031,PST,,1,5,181031.PST.1.5,201810,PORARM,78,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181031,PST,,1,5,181031.PST.1.5,201810,PORARM,79,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181031,PST,,1,6,181031.PST.1.6,201810,PORARM,74,M,MATURE,LARGE,HANAMSETH,HARD,,,,
181031,PST,,1,6,181031.PST.1.6,201810,PORARM,76,M,MATURE,LARGE,HANAMSETH,HARD,,,,
181031,PST,,1,6,181031.PST.1.6,201810,PORARM,77,M,MATURE,LARGE,HANAMSETH,HARD,,,,
181031,PST,,1,9,181031.PST.1.9,201810,PORARM,64,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181031,PST,,2,1,181031.PST.2.1,201810,PORARM,32,F,IMMATURE,SMALL,HANAMSETH,HARD,,,,
181031,PST,,2,1,181031.PST.2.1,201810,PORARM,61,F,MATURE,SMALL,HANAMSETH,HARD,,,,
181031,PST,,2,1,181031.PST.2.1,201810,PORARM,64,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181031,PST,,2,10,181031.PST.2.10,201810,PORARM,69,M,MATURE,LARGE,HANAMSETH,HARD,,,,
181031,PST,,2,10,181031.PST.2.10,201810,PORARM,70,M,MATURE,LARGE,HANAMSETH,HARD,,,,
181031,PST,,2,10,181031.PST.2.10,201810,PORARM,70,M,MATURE,LARGE,HANAMSETH,HARD,,,,
181031,PST,,2,10,181031.PST.2.10,201810,PORARM,76,M,MATURE,LARGE,HANAMSETH,HARD,,,,
181031,PST,,2,10,181031.PST.2.10,201810,PORARM,80,M,MATURE,LARGE,HANAMSETH,HARD,,,,
181031,PST,,2,2,181031.PST.2.2,201810,PORARM,53,M,MATURE,LARGE,HANAMSETH,HARD,,,,
181031,PST,,2,2,181031.PST.2.2,201810,PORARM,65,M,MATURE,LARGE,HANAMSETH,HARD,,,,
181031,PST,,2,2,181031.PST.2.2,201810,PORARM,67,M,MATURE,LARGE,HANAMSETH,HARD,,,,
181031,PST,,2,2,181031.PST.2.2,201810,PORARM,70,M,MATURE,LARGE,HANAMSETH,HARD,,,,
181031,PST,,2,3,181031.PST.2.3,201810,PORARM,57,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181031,PST,,2,3,181031.PST.2.3,201810,PORARM,59,F,MATURE,SMALL,HANAMSETH,HARD,,,,
181031,PST,,2,3,181031.PST.2.3,201810,PORARM,62,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181031,PST,,2,3,181031.PST.2.3,201810,PORARM,74,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181031,PST,,2,3,181031.PST.2.3,201810,PORARM,75,M,MATURE,SMALL,HANAMSETH,HARD,,,,
181031,PST,,2,4,181031.PST.2.4,201810,PORARM,57,F,MATURE,LARGE,HANAMSETH,HARD,,,,
181031,PST,,2,4,181031.PST.2.4,201810,PORARM,63,M,MATURE,LARGE,HANAMSETH,HARD,,,,
