lat (degrees_north),lon (degrees_east),time (UTC),old SST,new SST
-32.23,152.61,1992-03-16T09:20:00Z,,
-32.23,152.61,1992-04-15T21:20:00Z,295.69397,
-32.23,152.61,1992-05-16T09:20:00Z,294.27243,
-32.23,152.61,1992-06-15T21:20:00Z,293.52524,
-32.23,152.61,1992-07-16T09:20:00Z,292.03497,
-32.23,152.61,1992-08-16T09:20:00Z,291.495,
-32.23,152.61,1992-09-15T21:20:00Z,291.91028,
-32.23,152.61,1992-10-16T09:20:00Z,293.86148,
-32.23,152.61,1992-11-15T21:20:00Z,293.7109,
-32.23,152.61,1992-12-16T09:20:00Z,294.69913,
-32.23,152.61,1993-01-16T09:20:00Z,295.22055,
-32.23,152.61,1993-02-14T21:20:00Z,294.13086,
-32.23,152.61,1993-03-16T09:20:00Z,293.2561,
-32.23,152.61,1993-04-15T21:20:00Z,295.44412,
-32.23,152.61,1993-05-16T09:20:00Z,293.45596,
-32.23,152.61,1993-06-15T21:20:00Z,292.6231,
-32.23,152.61,1993-07-16T09:20:00Z,291.92035,
-32.23,152.61,1993-08-16T09:20:00Z,291.24768,
-32.23,152.61,1993-09-15T21:20:00Z,290.90427,
-32.23,152.61,1993-10-16T09:20:00Z,290.94278,
-32.23,152.61,1993-11-15T21:20:00Z,293.26324,
-32.23,152.61,1993-12-16T09:20:00Z,294.15256,
-32.23,152.61,1994-01-16T09:20:00Z,296.6498,
-32.23,152.61,1994-02-14T21:20:00Z,295.9884,
-32.23,152.61,1994-03-16T09:20:00Z,295.05774,
-32.23,152.61,1994-04-15T21:20:00Z,294.0074,
-32.23,152.61,1994-05-16T09:20:00Z,293.15012,
-32.23,152.61,1994-06-15T21:20:00Z,292.22916,
-32.23,152.61,1994-07-16T09:20:00Z,292.19543,
-32.23,152.61,1994-08-16T09:20:00Z,292.10928,
-32.23,152.61,1994-09-15T21:20:00Z,292.54388,
-32.23,152.61,1994-10-16T09:20:00Z,288.85934,
-32.23,152.61,1994-11-15T21:20:00Z,293.05963,
-32.23,152.61,1994-12-16T09:20:00Z,293.69418,
-32.23,152.61,1995-01-16T09:20:00Z,294.51144,
-32.23,152.61,1995-02-14T21:20:00Z,294.11227,
-32.23,152.61,1995-03-16T09:20:00Z,297.24045,
-32.23,152.61,1995-04-15T21:20:00Z,295.15683,
-32.23,152.61,1995-05-16T09:20:00Z,294.2804,
-32.23,152.61,1995-06-15T21:20:00Z,291.84402,
-32.23,152.61,1995-07-16T09:20:00Z,291.13388,
-32.23,152.61,1995-08-16T09:20:00Z,291.3446,
-32.23,152.61,1995-09-15T21:20:00Z,291.24835,
-32.23,152.61,1995-10-16T09:20:00Z,291.62375,
-32.23,152.61,1995-11-15T21:20:00Z,293.3129,
-32.23,152.61,1995-12-16T09:20:00Z,293.74136,
-32.23,152.61,1996-01-16T09:20:00Z,295.72177,
-32.23,152.61,1996-02-15T09:20:00Z,295.93094,
-32.23,152.61,1996-03-16T09:20:00Z,296.35675,
-32.23,152.61,1996-04-15T21:20:00Z,294.94672,
-32.23,152.61,1996-05-16T09:20:00Z,294.0881,
-32.23,152.61,1996-06-15T21:20:00Z,294.1611,
-32.23,152.61,1996-07-16T09:20:00Z,291.57254,
-32.23,152.61,1996-08-16T09:20:00Z,291.13593,
-32.23,152.61,1996-09-15T21:20:00Z,291.11993,
-32.23,152.61,1996-10-16T09:20:00Z,291.7895,
-32.23,152.61,1996-11-15T21:20:00Z,293.628,
-32.23,152.61,1996-12-16T09:20:00Z,294.01657,
-32.23,152.61,1997-01-16T09:20:00Z,295.38232,
-32.23,152.61,1997-02-14T21:20:00Z,295.3291,
-32.23,152.61,1997-03-16T09:20:00Z,296.7564,
-32.23,152.61,1997-04-15T21:20:00Z,295.95148,
-32.23,152.61,1997-05-16T09:20:00Z,294.52814,
-32.23,152.61,1997-06-15T21:20:00Z,293.47623,
-32.23,152.61,1997-07-16T09:20:00Z,292.63428,
-32.23,152.61,1997-08-16T09:20:00Z,291.5912,
-32.23,152.61,1997-09-15T21:20:00Z,292.20923,
