FinYear,Fin_year_Total_Catch,Fin_year_Total_Effort_days,Fin_year_CPUE
1998,102354,5992,17.08177570093458
1999,107489.3,5303,20.26952668300962
2000,89517.4,5428,16.491783345615328
2001,71030.3,5148,13.797649572649574
2002,69980.4,3944,17.743509127789046
2003,114785.1,4400,26.087522727272727
2004,76154.2,3505,21.727303851640514
2005,78449.6,3451,22.732425383946683
2006,104198.1,4288,24.299930037313434
2007,98604.1,4699,20.984060438391147
2008,47258.9,4328,10.919339186691312
2009,50870.5,2851,17.843037530690985
2010,50635.1,2731,18.540864152325156
2011,46095.659999999996,2652,17.381470588235292
2012,22513.6,1824,12.34298245614035
2013,67157.87,2618,25.65235676088617
2014,120777.22,3680,32.819896739130435
2015,162540.2,4727,34.38548762428602
2016,118278.70999999999,4275,27.667534502923974
2017,103822,3512,29.562072892938495
2018,61014.1,3697,16.50367865837165
2019,46807.2,3681,12.715892420537896
2020,34039.9,3324,10.240643802647414
2021,46105.5,2988,15.430220883534137
