Date and time,Mean Discharge (ML/D),Min Discharge (ML/D),Max Discharge (ML/D),Date,High_Flow_Event
1/01/1996 8:00,44.478,3.156,595.699,1996-01-01,0
1/02/1996 8:00,117.325,2.451,1150.852,1996-02-01,0
1/03/1996 8:00,4.528,1.696,17.16,1996-03-01,0
1/04/1996 8:00,1.254,0.305,3.653,1996-04-01,0
1/05/1996 8:00,0.046,0,0.335,1996-05-01,0
1/06/1996 8:00,229.132,0.015,9070.55,1996-06-01,0
1/07/1996 8:00,24.897,3.941,307.288,1996-07-01,0
1/08/1996 8:00,5.309,0.956,55.699,1996-08-01,0
1/09/1996 8:00,27.806,0.503,1023.801,1996-09-01,0
1/10/1996 8:00,8.258,0.709,117.101,1996-10-01,0
1/11/1996 8:00,5.133,0.956,105.696,1996-11-01,0
1/12/1996 8:00,59.405,0.956,960.199,1996-12-01,0
1/01/1997 8:00,2.213,0.665,11.283,1997-01-01,0
1/02/1997 8:00,3.81,0,82.377,1997-02-01,0
1/03/1997 8:00,57.378,0.503,605.083,1997-03-01,0
1/04/1997 8:00,376.56,2.344,14132.167,1997-04-01,1
1/05/1997 8:00,0.52,0.081,2.344,1997-05-01,0
1/06/1997 8:00,49.542,0.024,854.727,1997-06-01,0
1/07/1997 8:00,136.998,3.415,3490.245,1997-07-01,0
1/08/1997 8:00,52.592,5.86,1269.103,1997-08-01,0
1/09/1997 8:00,2.69,1.068,5.86,1997-09-01,0
1/10/1997 8:00,6.383,0.903,109.925,1997-10-01,0
1/11/1997 8:00,20.648,0.69,473.23,1997-11-01,0
1/12/1997 8:00,0.583,0.147,1.634,1997-12-01,0
1/01/1998 8:00,0.009,0,0.147,1998-01-01,0
1/02/1998 8:00,6.276,0,143.203,1998-02-01,0
1/03/1998 8:00,2.336,0.305,12.765,1998-03-01,0
1/04/1998 8:00,0.239,0,1.45,1998-04-01,0
1/05/1998 8:00,0.611,0,5.604,1998-05-01,0
1/06/1998 8:00,155.045,0.582,5735.058,1998-06-01,0
1/07/1998 8:00,84.734,5.604,1915.794,1998-07-01,0
1/08/1998 8:00,73.265,8.606,1131.163,1998-08-01,0
1/09/1998 8:00,442.544,15.851,10344.141,1998-09-01,1
1/10/1998 8:00,131.45,19.531,1581.37,1998-10-01,0
1/11/1998 8:00,5.701,1.352,19.531,1998-11-01,0
1/12/1998 8:00,179.958,0.852,4328.804,1998-12-01,0
1/01/1999 8:00,17.876,2.38,631.346,1999-01-01,0
1/02/1999 8:00,192.749,0.803,7224.387,1999-02-01,0
1/03/1999 8:00,163.278,14.321,1182.781,1999-03-01,0
1/04/1999 8:00,106.488,6.161,2587.563,1999-04-01,0
1/05/1999 8:00,444.59,6.275,3976.128,1999-05-01,1
1/06/1999 8:00,17.806,7.584,49.343,1999-06-01,0
1/07/1999 8:00,528.482,26.216,2622.924,1999-07-01,1
1/08/1999 8:00,2363.073,28.256,26234.057,1999-08-01,1
1/09/1999 8:00,65.185,28.504,588.718,1999-09-01,0
1/10/1999 8:00,38.991,7.802,1302.95,1999-10-01,0
1/11/1999 8:00,70.648,2.83,2476.961,1999-11-01,0
1/12/1999 8:00,93.543,11.103,1839.617,1999-12-01,0
1/01/2000 8:00,12.189,2.236,455.521,2000-01-01,0
1/02/2000 8:00,165.564,7.772,4219.132,2000-02-01,0
1/03/2000 8:00,2.501,0.852,7.772,2000-03-01,0
1/04/2000 8:00,798.851,0.803,23404.415,2000-04-01,1
1/05/2000 8:00,179.355,27.764,3446.788,2000-05-01,0
1/06/2000 8:00,24.832,3.602,146.652,2000-06-01,0
1/07/2000 8:00,5.206,2.4,17.686,2000-07-01,0
1/08/2000 8:00,26.62,2.379,673.259,2000-08-01,0
1/09/2000 8:00,9.151,1.634,445.856,2000-09-01,0
1/10/2000 8:00,0.822,0.251,1.654,2000-10-01,0
1/11/2000 8:00,0.825,0.067,2.093,2000-11-01,0
1/12/2000 8:00,108.659,0.622,1256.547,2000-12-01,0
1/01/2001 8:00,20.417,0.509,386.298,2001-01-01,0
1/02/2001 8:00,0.3,0.081,2.143,2001-02-01,0
1/03/2001 8:00,19.902,1.696,223.569,2001-03-01,0
1/04/2001 8:00,797.499,4.269,8647.5,2001-04-01,1
1/05/2001 8:00,11.6,4.25,35.608,2001-05-01,0
1/06/2001 8:00,523.583,3.941,5095.193,2001-06-01,1
1/07/2001 8:00,13.81,5.972,46.153,2001-07-01,0
1/08/2001 8:00,12.074,2.379,147.523,2001-08-01,0
1/09/2001 8:00,5.753,1.25,35.768,2001-09-01,0
1/10/2001 8:00,2.077,0.622,9.966,2001-10-01,0
1/11/2001 8:00,0.416,0.073,0.803,2001-11-01,0
1/12/2001 8:00,21.966,0,554.714,2001-12-01,0
1/01/2002 8:00,1.762,0.134,7.055,2002-01-01,0
1/02/2002 8:00,0.115,0,1.25,2002-02-01,0
1/03/2002 8:00,427.732,0.097,16750.922,2002-03-01,1
1/04/2002 8:00,29.534,0.542,696.105,2002-04-01,0
1/05/2002 8:00,25.391,2.99,522.454,2002-05-01,0
1/06/2002 8:00,2.538,0.709,6.256,2002-06-01,0
1/07/2002 8:00,50.377,2.15,843.139,2002-07-01,0
1/08/2002 8:00,3.015,1.381,7.208,2002-08-01,0
1/09/2002 8:00,1.598,0.665,5.786,2002-09-01,0
1/10/2002 8:00,1.314,0.503,2.379,2002-10-01,0
1/11/2002 8:00,0.048,0,0.542,2002-11-01,0
1/12/2002 8:00,0,0,0,2002-12-01,0
1/01/2003 8:00,45.606,0,1557.227,2003-01-01,0
1/02/2003 8:00,0.733,0,2.236,2003-02-01,0
1/03/2003 8:00,9.613,0,160.031,2003-03-01,0
1/04/2003 8:00,54.695,0.911,2323.733,2003-04-01,0
1/05/2003 8:00,6.235,0.542,60.657,2003-05-01,0
1/06/2003 8:00,846.239,5.305,15043.058,2003-06-01,1
1/07/2003 8:00,23.098,3.328,153.077,2003-07-01,0
1/08/2003 8:00,10.094,4.704,32.38,2003-08-01,0
1/09/2003 8:00,3.118,0.665,5.095,2003-09-01,0
1/10/2003 8:00,1.053,0.397,2.379,2003-10-01,0
1/11/2003 8:00,1.004,0.397,2.093,2003-11-01,0
1/12/2003 8:00,0.347,0,2.674,2003-12-01,0
1/01/2004 8:00,2.054,0.115,35.239,2004-01-01,0
1/02/2004 8:00,5.764,0,783.854,2004-02-01,0
1/03/2004 8:00,29.182,0,848.921,2004-03-01,0
1/04/2004 8:00,110.494,3.941,2704.363,2004-04-01,0
1/05/2004 8:00,2.875,0.503,10.45,2004-05-01,0
1/06/2004 8:00,0.804,0.503,0.956,2004-06-01,0
1/07/2004 8:00,0.594,0.024,0.956,2004-07-01,0
1/08/2004 8:00,0.01,0,0.204,2004-08-01,0
1/09/2004 8:00,0.121,0,0.956,2004-09-01,0
1/10/2004 8:00,0.924,0.024,2.236,2004-10-01,0
1/11/2004 8:00,652.799,0.006,12070.022,2004-11-01,1
1/12/2004 8:00,6.578,0.073,44.737,2004-12-01,0
1/01/2005 8:00,1.798,0.073,52.675,2005-01-01,0
