Date and time,Mean Discharge (ML/D),Min Discharge (ML/D),Max Discharge (ML/D)
1/06/1969 8:00,11.339,0,44.992
1/07/1969 8:00,245.798,15.783,2549.914
1/08/1969 8:00,28.071,8.322,216.913
1/09/1969 8:00,478.359,1.517,5183.572
1/10/1969 8:00,18.393,3.047,89.038
1/11/1969 8:00,97.407,8.939,502.177
1/12/1969 8:00,357.455,8.939,3479.158
1/01/1970 8:00,2.011,0.807,8.939
1/02/1970 8:00,66.545,0.104,793.447
1/03/1970 8:00,195.113,0.807,3250.195
1/04/1970 8:00,55.557,1.517,481.694
1/05/1970 8:00,3.708,1.517,31.904
1/06/1970 8:00,0.312,0,1.517
1/07/1970 8:00,0.334,0,1.517
1/08/1970 8:00,0.67,0.067,1.517
1/09/1970 8:00,0.097,0.097,0.11
1/10/1970 8:00,6.359,0.097,42.129
1/11/1970 8:00,6.984,4.234,15.9
1/12/1970 8:00,4.474,3.932,8.995
1/01/1971 8:00,237.879,3.918,3132.622
1/02/1971 8:00,1670.31,1.517,35000
1/03/1971 8:00,357.611,51.932,2299.781
1/04/1971 8:00,639.904,0.837,2593.147
1/05/1971 8:00,10.258,0.837,17.398
1/06/1971 8:00,10.351,0.097,88.241
1/07/1971 8:00,398.779,1.517,4137.315
1/08/1971 8:00,33.345,4.234,210.152
1/09/1971 8:00,10.243,4.322,24.07
1/10/1971 8:00,4.847,1.468,27.813
1/11/1971 8:00,0.558,0.099,1.468
1/12/1971 8:00,0.119,0.099,1.37
1/01/1972 8:00,250.947,1.37,4506.846
1/02/1972 8:00,491.95,2.765,4638.402
1/03/1972 8:00,29.094,4.35,210.742
1/04/1972 8:00,280.552,2.855,2589.668
1/05/1972 8:00,566.714,9.084,12787.183
1/06/1972 8:00,27.983,6.543,152.957
1/07/1972 8:00,644.115,13.152,12046.372
1/08/1972 8:00,14.157,6.543,52.507
1/09/1972 8:00,16.732,4.219,105.927
1/10/1972 8:00,18.675,4.21,693.642
1/11/1972 8:00,774.058,1.47,8947.753
1/12/1972 8:00,67.863,2.791,967.423
1/01/1973 8:00,4.53,1.47,24.036
1/02/1973 8:00,148.212,0.802,2459.385
1/03/1973 8:00,990.334,146.22,3339.224
1/04/1973 8:00,64.409,2.875,340.683
1/05/1973 8:00,1.683,1.47,2.875
1/06/1973 8:00,1.47,1.47,1.47
1/07/1973 8:00,1.476,0.701,1.506
1/08/1973 8:00,3.676,1.506,4.198
1/09/1973 8:00,1.506,1.506,1.579
1/10/1973 8:00,1.361,0.779,1.506
1/11/1973 8:00,15.788,0.779,130.732
1/12/1973 8:00,38.595,1.506,468.868
1/01/1974 8:00,,,
1/02/1974 8:00,746.943,1.506,5907.485
1/03/1974 8:00,23.043,1.506,181.83
1/04/1974 8:00,628.41,1.506,4249.41
1/05/1974 8:00,393.288,1.506,4838.215
1/06/1974 8:00,308.671,9.109,2679.225
1/07/1974 8:00,767.019,9.502,13515.274
1/08/1974 8:00,5.964,4.198,15.674
1/09/1974 8:00,36.717,1.81,505.946
1/10/1974 8:00,4.967,1.513,24.381
1/11/1974 8:00,1.506,1.506,1.513
1/12/1974 8:00,7.325,1.506,64.745
1/01/1975 8:00,2.826,1.81,16.987
