Year,Month,Rain_mm,Date
2009,1,19.3,2009-01-01
2009,2,285.2,2009-02-01
2009,3,71.6,2009-03-01
2009,4,145,2009-04-01
2009,5,128.8,2009-05-01
2009,6,186.2,2009-06-01
2009,7,33.4,2009-07-01
2009,8,2,2009-08-01
2009,9,14.2,2009-09-01
2009,10,140.6,2009-10-01
2009,11,137.1,2009-11-01
2009,12,122.1,2009-12-01
2010,1,80.8,2010-01-01
2010,2,44.8,2010-02-01
2010,3,90,2010-03-01
2010,4,22.2,2010-04-01
2010,5,88,2010-05-01
2010,6,148.2,2010-06-01
2010,7,96,2010-07-01
2010,8,50.7,2010-08-01
2010,9,11.8,2010-09-01
2010,10,76.4,2010-10-01
2010,11,117,2010-11-01
2010,12,98,2010-12-01
2011,1,121.6,2011-01-01
2011,2,58.8,2011-02-01
2011,3,190.4,2011-03-01
2011,4,196.4,2011-04-01
2011,5,132.4,2011-05-01
2011,6,238.2,2011-06-01
2011,7,183.2,2011-07-01
2011,8,78.6,2011-08-01
2011,9,104.3,2011-09-01
2011,10,117.6,2011-10-01
2011,11,172.4,2011-11-01
2011,12,109.8,2011-12-01
2012,1,140.5,2012-01-01
2012,2,326.7,2012-02-01
2012,3,79,2012-03-01
2012,4,188.1,2012-04-01
2012,5,49.3,2012-05-01
2012,6,259.6,2012-06-01
2012,7,92.4,2012-07-01
2012,8,60.8,2012-08-01
2012,9,15.8,2012-09-01
2012,10,30.7,2012-10-01
2012,11,56.2,2012-11-01
2012,12,48.3,2012-12-01
2013,1,383.8,2013-01-01
2013,2,227.6,2013-02-01
2013,3,204.4,2013-03-01
2013,4,114,2013-04-01
2013,5,117.3,2013-05-01
2013,6,120.5,2013-06-01
2013,7,52.9,2013-07-01
2013,8,12.2,2013-08-01
2013,9,30.4,2013-09-01
2013,10,45.4,2013-10-01
2013,11,293.7,2013-11-01
2013,12,25.6,2013-12-01
2014,1,42.1,2014-01-01
2014,2,104.1,2014-02-01
2014,3,121.8,2014-03-01
2014,4,190.3,2014-04-01
2014,5,35.4,2014-05-01
2014,6,75.6,2014-06-01
2014,7,NA,2014-07-01
2014,8,158,2014-08-01
2014,9,62,2014-09-01
2014,10,37.7,2014-10-01
2014,11,82.7,2014-11-01
2014,12,NA,2014-12-01
2015,1,161.9,2015-01-01
2015,2,69.2,2015-02-01
2015,3,133.4,2015-03-01
2015,4,141.5,2015-04-01
2015,5,177,2015-05-01
2015,6,50.4,2015-06-01
2015,7,16.7,2015-07-01
2015,8,25.1,2015-08-01
2015,9,172.7,2015-09-01
2015,10,64.7,2015-10-01
2015,11,141.3,2015-11-01
2015,12,129.9,2015-12-01
2016,1,259.6,2016-01-01
2016,2,105.6,2016-02-01
2016,3,64.4,2016-03-01
2016,4,50.6,2016-04-01
2016,5,3.6,2016-05-01
2016,6,249.2,2016-06-01
2016,7,32.3,2016-07-01
2016,8,106.9,2016-08-01
2016,9,49.9,2016-09-01
2016,10,79.7,2016-10-01
2016,11,48.4,2016-11-01
2016,12,63.8,2016-12-01
2017,1,89.2,2017-01-01
2017,2,71.4,2017-02-01
2017,3,289.8,2017-03-01
2017,4,85.4,2017-04-01
2017,5,36.5,2017-05-01
2017,6,188.1,2017-06-01
2017,7,8,2017-07-01
2017,8,52,2017-08-01
2017,9,8.7,2017-09-01
2017,10,117.7,2017-10-01
2017,11,134.4,2017-11-01
2017,12,66.6,2017-12-01
2018,1,91.6,2018-01-01
2018,2,120,2018-02-01
2018,3,538.6,2018-03-01
2018,4,76.3,2018-04-01
2018,5,34.8,2018-05-01
2018,6,191.7,2018-06-01
2018,7,25.5,2018-07-01
2018,8,9.4,2018-08-01
2018,9,91,2018-09-01
2018,10,125.7,2018-10-01
2018,11,93.7,2018-11-01
2018,12,81.3,2018-12-01
2019,1,13.2,2019-01-01
2019,2,116.9,2019-02-01
2019,3,138.9,2019-03-01
2019,4,81,2019-04-01
2019,5,17.8,2019-05-01
2019,6,109.2,2019-06-01
2019,7,42.6,2019-07-01
2019,8,17.6,2019-08-01
2019,9,39.1,2019-09-01
2019,10,45,2019-10-01
2019,11,6.4,2019-11-01
2019,12,19.9,2019-12-01
2020,1,88.9,2020-01-01
2020,2,502.5,2020-02-01
2020,3,254.2,2020-03-01
2020,4,42.2,2020-04-01
2020,5,111.6,2020-05-01
2020,6,135.2,2020-06-01
2020,7,94.6,2020-07-01
2020,8,8.8,2020-08-01
2020,9,39.8,2020-09-01
2020,10,191.5,2020-10-01
2020,11,29.6,2020-11-01
2020,12,229.9,2020-12-01
2021,1,219.8,2021-01-01
2021,2,238.9,2021-02-01
2021,3,561.6,2021-03-01
2021,4,74,2021-04-01
2021,5,101.2,2021-05-01
2021,6,212.4,2021-06-01
2021,7,71.4,2021-07-01
2021,8,20,2021-08-01
2021,9,107.8,2021-09-01
2021,10,107.4,2021-10-01
2021,11,239.4,2021-11-01
2021,12,103.2,2021-12-01
