Year,Month,Wallis_Lake_Abund,Total_Traps,Wallis_Lake_CPUE
2018,11,297,40,7.425
2018,12,330,40,8.25
2019,1,764,40,19.1
2019,2,502,40,12.55
2019,3,389,40,9.725
2019,4,204,40,5.1
2019,5,111,40,2.775
2019,6,135,40,3.375
2019,7,75,40,1.875
2019,8,144,84,1.7142857142857142
2019,9,228,84,2.7142857142857144
2019,10,130,84,1.5476190476190477
2019,11,189,84,2.25
2019,12,222,84,2.642857142857143
2020,1,594,83,7.156626506024097
2020,2,1396,83,16.819277108433734
2020,3,1156,84,13.761904761904763
2020,4,556,84,6.619047619047619
2020,5,480,84,5.714285714285714
2020,6,485,84,5.773809523809524
2020,7,479,84,5.7023809523809526
2020,8,480,84,5.714285714285714
2020,9,448,84,5.333333333333333
2020,10,365,84,4.345238095238095
2020,11,405,84,4.821428571428571
2020,12,543,84,6.464285714285714
2021,1,1253,84,14.916666666666666
2021,2,1114,84,13.261904761904763
2021,3,1135,84,13.511904761904763
2021,4,475,84,5.654761904761905
2021,5,349,84,4.154761904761905
2021,6,288,84,3.4285714285714284
2021,11,214,84,2.5476190476190474
2021,12,228,84,2.7142857142857144
2022,1,519,84,6.178571428571429
2022,2,NA,84,NA
