Year,Month,Size_class,Wallis_Lake_Abund,Wallis_Lake_CPUE,Total_PORAM,CPUE,Date
2018,12,prerecruits,173,1.7653061224489797,NA,NA,NA
2018,12,recruits,69,0.7040816326530612,NA,NA,NA
2018,12,small,89,0.9081632653061223,NA,NA,NA
2019,1,prerecruits,625,6.377551020408164,NA,NA,NA
2019,1,recruits,63,0.6428571428571429,NA,NA,NA
2019,1,small,77,0.7857142857142857,NA,NA,NA
2019,2,prerecruits,447,4.561224489795919,NA,NA,NA
2019,2,recruits,44,0.4489795918367347,NA,NA,NA
2019,2,small,14,0.14285714285714285,NA,NA,NA
2019,3,prerecruits,318,3.2448979591836733,NA,NA,NA
2019,3,recruits,61,0.6224489795918368,NA,NA,NA
2019,3,small,9,0.09183673469387756,NA,NA,NA
2019,4,prerecruits,156,1.5918367346938775,NA,NA,NA
2019,4,recruits,41,0.41836734693877553,NA,NA,NA
2019,4,small,7,0.07142857142857142,NA,NA,NA
2019,5,prerecruits,74,0.7551020408163265,12,0.15,2019-05-15
2019,5,recruits,35,0.35714285714285715,48,0.6,2019-05-15
2019,5,small,2,0.02040816326530612,0,0,2019-05-15
2019,6,prerecruits,76,0.7755102040816326,6,0.075,2019-06-15
2019,6,recruits,56,0.5714285714285714,36,0.45,2019-06-15
2019,6,small,3,0.03061224489795918,0,0,2019-06-15
2019,7,prerecruits,39,0.3979591836734694,11,0.1375,2019-07-15
2019,7,recruits,35,0.35714285714285715,81,1.0125,2019-07-15
2019,7,small,1,0.01020408163265306,0,0,2019-07-15
2019,8,prerecruits,94,0.9591836734693876,2,0.025,2019-08-15
2019,8,recruits,47,0.47959183673469385,63,0.7875,2019-08-15
2019,8,small,3,0.03061224489795918,0,0,2019-08-15
2019,9,prerecruits,170,1.7346938775510203,NA,NA,NA
2019,9,recruits,53,0.5408163265306123,NA,NA,NA
2019,9,small,5,0.05102040816326531,NA,NA,NA
2019,10,prerecruits,96,0.979591836734694,NA,NA,NA
2019,10,recruits,31,0.3163265306122449,NA,NA,NA
2019,10,small,3,0.03061224489795918,NA,NA,NA
2019,11,prerecruits,104,1.0612244897959184,NA,NA,NA
2019,11,recruits,69,0.7040816326530612,NA,NA,NA
2019,11,small,16,0.16326530612244897,NA,NA,NA
2019,12,prerecruits,83,0.8469387755102041,NA,NA,NA
2019,12,recruits,70,0.7142857142857143,NA,NA,NA
2019,12,small,69,0.7040816326530612,NA,NA,NA
2020,1,prerecruits,346,3.5306122448979593,NA,NA,NA
2020,1,recruits,59,0.6020408163265306,NA,NA,NA
2020,1,small,189,1.9285714285714288,NA,NA,NA
2020,2,prerecruits,1077,10.989795918367347,NA,NA,NA
2020,2,recruits,119,1.2142857142857142,NA,NA,NA
2020,2,small,199,2.0306122448979593,NA,NA,NA
2020,3,prerecruits,882,9,NA,NA,NA
2020,3,recruits,145,1.479591836734694,NA,NA,NA
2020,3,small,128,1.3061224489795915,NA,NA,NA
2020,4,prerecruits,425,4.336734693877551,NA,NA,NA
2020,4,recruits,91,0.9285714285714286,NA,NA,NA
2020,4,small,40,0.40816326530612246,NA,NA,NA
2020,5,prerecruits,355,3.622448979591837,3,0.0375,2020-05-15
2020,5,recruits,114,1.163265306122449,7,0.0875,2020-05-15
2020,5,small,11,0.11224489795918367,0,0,2020-05-15
2020,6,prerecruits,359,3.663265306122449,5,0.0625,2020-06-15
2020,6,recruits,119,1.2142857142857142,18,0.225,2020-06-15
2020,6,small,7,0.07142857142857142,0,0,2020-06-15
2020,7,prerecruits,377,3.846938775510204,NA,NA,NA
2020,7,recruits,90,0.9183673469387756,NA,NA,NA
2020,7,small,12,0.12244897959183672,NA,NA,NA
2020,8,prerecruits,399,4.071428571428571,14,0.175,2020-08-15
2020,8,recruits,66,0.673469387755102,55,0.6875,2020-08-15
2020,8,small,15,0.15306122448979592,0,0,2020-08-15
2020,9,prerecruits,362,3.693877551020408,NA,NA,NA
2020,9,recruits,73,0.7448979591836735,NA,NA,NA
2020,9,small,13,0.1326530612244898,NA,NA,NA
2020,10,prerecruits,253,2.5816326530612246,NA,NA,NA
2020,10,recruits,89,0.9081632653061223,NA,NA,NA
2020,10,small,23,0.2346938775510204,NA,NA,NA
2020,11,prerecruits,183,1.8673469387755104,NA,NA,NA
2020,11,recruits,161,1.6428571428571428,NA,NA,NA
2020,11,small,61,0.6224489795918368,NA,NA,NA
2020,12,prerecruits,193,1.969387755102041,NA,NA,NA
2020,12,recruits,99,1.010204081632653,NA,NA,NA
2020,12,small,251,2.561224489795918,NA,NA,NA
2021,1,prerecruits,833,8.5,NA,NA,NA
2021,1,recruits,82,0.8367346938775511,NA,NA,NA
2021,1,small,338,3.4489795918367347,NA,NA,NA
2021,2,prerecruits,892,9.10204081632653,NA,NA,NA
2021,2,recruits,76,0.7755102040816326,NA,NA,NA
2021,2,small,146,1.489795918367347,NA,NA,NA
2021,3,prerecruits,926,9.448979591836734,NA,NA,NA
2021,3,recruits,107,1.0918367346938775,NA,NA,NA
2021,3,small,101,1.030612244897959,NA,NA,NA
2021,4,prerecruits,355,3.622448979591837,NA,NA,NA
2021,4,recruits,67,0.6836734693877551,NA,NA,NA
2021,4,small,51,0.5204081632653061,NA,NA,NA
2021,5,prerecruits,276,2.816326530612245,20,0.25,2021-05-15
2021,5,recruits,44,0.4489795918367347,62,0.775,2021-05-15
2021,5,small,29,0.29591836734693877,2,0.025,2021-05-15
2021,6,prerecruits,218,2.2244897959183674,15,0.1875,2021-06-15
2021,6,recruits,56,0.5714285714285714,63,0.7875,2021-06-15
2021,6,small,11,0.11224489795918367,0,0,2021-06-15
2021,11,prerecruits,158,1.6122448979591837,NA,NA,NA
2021,11,recruits,50,0.5102040816326531,NA,NA,NA
2021,11,small,6,0.06122448979591836,NA,NA,NA
2021,12,prerecruits,141,1.4387755102040816,NA,NA,NA
2021,12,recruits,81,0.826530612244898,NA,NA,NA
2021,12,small,6,0.06122448979591836,NA,NA,NA
2022,1,prerecruits,371,3.7857142857142856,NA,NA,NA
2022,1,recruits,83,0.8469387755102041,NA,NA,NA
2022,1,small,65,0.6632653061224489,NA,NA,NA
2022,2,prerecruits,155,3.163265306122449,NA,NA,NA
2022,2,recruits,26,0.5306122448979592,NA,NA,NA
2022,2,small,8,0.16326530612244897,NA,NA,NA
