Interval,Samples,Fish,MinLen,MaxLen,AvgLen,StdLen,Avg+Std,Avg-Std
2006-07,9,280,6,8.6,6.961493733,0.509768108,7.471261842,6.451725625
2006-08,11,301,6,9,6.924847318,0.466310854,7.391158172,6.458536465
2006-09,10,255,6,8.6,7.0251095,0.426267752,7.451377252,6.598841748
2006-10,17,330,6,8.5,6.93192946,0.561475846,7.493405306,6.370453613
2006-11,6,362,6,8.5,6.93966521,0.417214035,7.356879245,6.522451175
2006-12,7,248,6,8.8,6.975670383,0.494823358,7.47049374,6.480847025
2007-01,6,189,6,8.8,6.808183826,0.484037689,7.292221515,6.324146138
2007-02,4,114,6,8.4,6.605493069,0.493721075,7.099214144,6.111771994
2007-03,4,158,6,8.3,6.69798933,0.371395022,7.069384352,6.326594308
2007-04,3,66,6,8.8,6.749548657,0.349065065,7.098613723,6.400483592
2007-05,4,204,6,8.6,6.798356676,0.385063129,7.183419805,6.413293547
2007-06,5,354,6,8.5,6.926834143,0.455161428,7.381995571,6.471672715
2007-07,4,298,6,9.1,6.679945833,0.468158863,7.148104696,6.211786971
2007-08,4,260,6,9,6.903966243,0.499569934,7.403536177,6.404396309
2007-09,14,284,6,8.8,6.688199127,0.46398585,7.152184977,6.224213277
2007-10,13,331,6,8.5,6.833181093,0.477548291,7.310729385,6.355632802
2007-11,8,178,6,9.1,6.788806229,0.429053572,7.217859801,6.359752658
2007-12,9,319,6,8.9,6.840002528,0.404484079,7.244486607,6.435518449
2008-01,11,313,6,8.3,6.770741969,0.436328441,7.20707041,6.334413528
2008-02,9,333,6,9,6.661289236,0.49221898,7.153508216,6.169070256
2008-03,5,189,6,9.1,6.685752052,0.393532889,7.079284941,6.292219163
2008-04,7,164,6,8.8,6.812445056,0.421916426,7.234361482,6.39052863
2008-05,6,252,6,8.7,6.902466645,0.476335251,7.378801896,6.426131394
2008-06,9,413,6,9.3,6.961805663,0.521740977,7.48354664,6.440064687
2008-07,10,213,6,9,7.39161458,0.516916545,7.908531125,6.874698035
2008-08,2,18,6.1,7.3,6.765151515,0.372395089,7.137546604,6.392756426
2008-09,6,89,6,9.1,6.617589559,0.313958676,6.931548235,6.303630883
2008-10,6,94,6,7.6,6.653264271,0.367205148,7.020469419,6.286059123
2008-11,2,173,6,7.8,6.721651166,0.36826593,7.089917096,6.353385236
2008-12,3,195,6,9.2,6.856576996,0.460635208,7.317212204,6.395941787
2009-01,6,97,6,8.4,6.606606214,0.367709353,6.974315567,6.238896861
2009-02,3,112,6,7.9,6.72398342,0.302529607,7.026513027,6.421453813
2009-03,2,112,6,8.1,7.13768373,0.336367295,7.474051025,6.801316435
2009-04,3,151,6,7.8,6.613333038,0.320328739,6.933661777,6.293004299
2009-05,4,148,6,8.1,6.882580161,0.458516232,7.341096394,6.424063929
2009-06,2,162,6,8.8,6.948635156,0.470858389,7.419493545,6.477776768
2009-07,4,117,6,8,6.896177929,0.503560466,7.399738395,6.392617462
2009-08,3,72,6.2,9,7.509246716,0.479441779,7.988688495,7.029804938
2009-09,4,96,6.2,8.3,7.22269125,0.524013606,7.746704856,6.698677643
2009-10,9,190,6,8.7,6.750119618,0.384330471,7.134450089,6.365789147
2009-11,5,127,6,8.4,6.746576998,0.40546667,7.152043669,6.341110328
2009-12,5,171,6,8.5,6.878406236,0.475044068,7.353450304,6.403362168
2010-01,6,241,6,8.2,6.749939449,0.422469008,7.172408457,6.327470441
2010-02,6,236,6,8.8,6.673519958,0.451907859,7.125427817,6.221612099
2010-03,4,214,6,8.4,6.616576335,0.46990382,7.086480156,6.146672515
2010-04,4,161,6.1,8.1,6.987480982,0.3837996,7.371280582,6.603681382
2010-05,6,215,6,8.6,6.922226122,0.472967058,7.395193179,6.449259064
2010-06,7,295,6,9,7.226657546,0.639960015,7.86661756,6.586697531
2010-07,1,45,6,8.5,7.085555556,0.563332437,7.648887992,6.522223119
2010-08,2,14,6,7.7,6.833333333,0.590153152,7.423486485,6.243180182
2010-09,5,179,6,8.8,7.022675467,0.530804304,7.553479772,6.491871163
2010-10,16,131,6,8.8,6.690390088,0.410706391,7.101096478,6.279683697
2010-11,4,102,6,9,6.735889795,0.417210904,7.153100699,6.318678892
2010-12,4,71,6,8.3,7.179674485,0.599546574,7.77922106,6.580127911
2011-01,5,101,6.1,8.6,6.951178538,0.489577407,7.440755945,6.461601131
2011-02,5,211,6.1,9,7.045915026,0.492926678,7.538841704,6.552988348
2011-03,6,223,6,8,6.88369697,0.374290149,7.257987118,6.509406821
2011-04,4,78,6.1,7.5,6.83187382,0.326227654,7.158101474,6.505646167
2011-05,9,349,6,8.7,7.133374234,0.549298942,7.682673177,6.584075292
2011-06,8,364,6,9.3,7.101649491,0.619720742,7.721370233,6.481928749
2011-08,2,68,6.2,9,7.570497343,0.65560383,8.226101173,6.914893513
2011-09,2,31,6,7.8,6.832844615,0.528671091,7.361515706,6.304173524
2011-10,3,48,6,8.2,6.716603774,0.464913709,7.181517483,6.251690065
2011-11,6,186,6,8.6,6.965316025,0.541631555,7.50694758,6.42368447
2011-12,6,114,6.3,9,7.442548004,0.520853037,7.963401041,6.921694968
2012-01,9,356,6,8.7,6.822242113,0.467168898,7.289411011,6.355073215
2012-02,8,238,6.1,8.7,7.002864742,0.514971735,7.517836477,6.487893007
2012-03,5,153,6.2,8.3,6.969204611,0.369823202,7.339027813,6.599381409
2012-04,4,60,6.2,7.6,6.936270414,0.311169664,7.247440078,6.62510075
2012-05,14,333,6,9.1,7.077944205,0.565865733,7.643809938,6.512078472
2012-06,6,260,6,9.1,7.186227306,0.589297013,7.775524319,6.596930293
2012-07,3,101,6.1,8.8,7.153759723,0.568792691,7.722552414,6.584967033
2012-08,4,95,6.1,8.9,7.366872212,0.63163047,7.998502682,6.735241742
2012-09,15,96,6.1,8.8,7.147261288,0.612793992,7.76005528,6.534467296
2012-10,8,66,6.1,8.4,6.810542732,0.442321331,7.252864064,6.368221401
2012-11,9,153,6,8.2,6.71735154,0.428624816,7.145976356,6.288726724
2012-12,8,254,6,9,7.070785975,0.522182826,7.592968801,6.548603149
2013-01,4,178,6.1,8.8,6.912511198,0.433923188,7.346434386,6.47858801
2013-02,7,432,6.1,8.5,7.008534838,0.408780171,7.417315009,6.599754667
2013-03,3,88,6.2,8.3,7.11049432,0.34908628,7.4595806,6.76140804
2013-04,7,243,6.1,9,7.033457002,0.546711724,7.580168726,6.486745278
2013-05,3,203,6.1,8.5,7.153101556,0.458656623,7.611758179,6.694444932
2013-06,8,396,6,8.8,7.23262213,0.55897813,7.79160026,6.673644
2013-07,5,199,6.3,9,7.278844686,0.501208072,7.780052758,6.777636614
2013-08,7,183,6.1,8.5,7.168245474,0.564773056,7.733018531,6.603472418
2013-09,10,150,6.2,8.8,7.258317166,0.553116911,7.811434076,6.705200255
2013-10,7,152,6.2,8.6,6.949352602,0.462379823,7.411732426,6.486972779
2013-11,6,190,6.2,8.7,7.090655919,0.489133387,7.579789306,6.601522532
2013-12,10,314,6,9,7.19590074,0.649700902,7.845601642,6.546199838
2014-01,4,235,6,8.5,6.877591019,0.454640259,7.332231279,6.42295076
2014-02,8,351,6.1,8.4,6.957256495,0.394937295,7.35219379,6.5623192
2014-03,6,325,6.1,8.2,6.926949082,0.434619754,7.361568836,6.492329328
2014-04,6,265,6,8.2,6.941131167,0.414446419,7.355577586,6.526684748
2014-05,10,389,6,8.9,6.847190318,0.46082534,7.308015658,6.386364978
2014-06,11,582,6.1,8.8,7.013898238,0.504177475,7.518075713,6.509720763
2014-07,4,54,6.1,9,7.360713741,0.621551368,7.982265109,6.739162373
2014-08,11,324,6,9.2,6.941410727,0.583255878,7.524666605,6.358154849
2014-09,10,201,6.1,8.8,6.99018708,0.55025487,7.54044195,6.43993221
2014-10,4,87,6.1,9,6.639938657,0.380522615,7.020461273,6.259416042
2014-11,9,292,6,8.4,6.930997708,0.441713442,7.37271115,6.489284266
2014-12,3,165,6,8.9,7.138591038,0.645576719,7.784167757,6.493014318
2015-01,8,607,6,8.1,6.580062089,0.38967062,6.96973271,6.190391469
2015-02,5,291,6,8.3,6.829416601,0.475656159,7.30507276,6.353760441
2015-03,7,403,6,8.3,6.680329471,0.410334673,7.090664144,6.269994798
2015-04,7,277,6,8,6.804564066,0.380313781,7.184877846,6.424250285
2015-05,11,463,6.1,8.5,6.955444728,0.480724651,7.436169379,6.474720077
2015-06,13,778,6,8.8,7.06133628,0.538564634,7.599900914,6.522771646
2015-07,9,605,6.1,9.5,7.339752816,0.49657847,7.836331286,6.843174345
2015-08,12,473,6.2,9.1,7.545416968,0.544304067,8.089721035,7.0011129
2015-09,12,279,6.1,9.4,6.999487008,0.52766842,7.527155428,6.471818588
2015-10,8,176,6,7.9,6.809726665,0.359032994,7.168759659,6.450693671
2015-11,4,270,6.1,8.8,7.043557612,0.508925644,7.552483256,6.534631968
2015-12,5,203,6,8.3,6.817771817,0.443125175,7.260896991,6.374646642
2016-01,8,457,6,8.3,6.650119259,0.405673465,7.055792723,6.244445794
2016-02,7,350,6,8.1,6.665939185,0.402585822,7.068525007,6.263353363
2016-03,7,502,5.7,8.3,6.761016619,0.381763215,7.142779834,6.379253403
2016-04,4,210,6,8.2,6.860868295,0.368279442,7.229147737,6.492588853
2016-05,6,519,6,8.8,7.077775303,0.530902251,7.608677554,6.546873052
2016-06,3,202,6,9,7.037254528,0.565593511,7.602848039,6.471661017
2017-12,1,27,6.6,7.7,6.990740741,0.285898394,7.276639135,6.704842347
2018-01,6,140,6.5,8.2,6.890763162,0.329770337,7.220533499,6.560992825
2018-02,4,119,6.5,8.2,6.930153245,0.295668621,7.225821866,6.634484625
2018-03,4,102,6.5,7.7,6.828833531,0.230308541,7.059142072,6.59852499
2018-04,7,147,6.5,8.1,7.034422282,0.299254642,7.333676924,6.73516764
2018-05,4,166,6.5,8.8,7.010220075,0.338352078,7.348572154,6.671867997
2018-06,3,383,6.5,8.3,7.06553004,0.339124526,7.404654566,6.726405514
2018-07,6,192,6.6,8.9,7.519522857,0.446506315,7.966029172,7.073016543
2018-08,1,84,6.7,8.8,7.386904762,0.492297237,7.879201998,6.894607525
2018-11,4,168,6.1,8.1,6.902587163,0.322047911,7.224635074,6.580539252
2018-12,7,110,6.5,7.9,6.996814314,0.317566635,7.31438095,6.679247679
2019-01,11,175,6.5,8,7.064079614,0.291330817,7.355410431,6.772748797
2019-02,3,188,6.5,8.2,7.026041667,0.304518834,7.330560501,6.721522832
2019-03,4,119,6.5,8.5,6.830450781,0.264085225,7.094536005,6.566365556
2019-04,2,28,6.5,7.7,6.917540163,0.275493253,7.193033416,6.64204691
